<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20210827,33.3,33.3,33,33,200
AAS,20210827,14.6,14.8,14.1,14.7,1016060
ABB,20210827,20,20.4,19.8,20.3,1801449
ABC,20210827,13.1,13.1,12.8,13,4300
ABI,20210827,59.4,65.5,59.1,65,502256
ACE,20210827,37.4,37.4,37.3,37.4,800
ACG,20210827,99.5,102,99,102,18900
ACV,20210827,76.5,77.2,76.5,77.2,163810
ADP,20210827,26.9,26.9,26.9,26.9,100
AFX,20210827,13.4,13.5,13.2,13.3,67600
AG1,20210827,6.4,6.6,6.4,6.4,1400
AGF,20210827,3.6,3.6,3.5,3.6,10231
AGP,20210827,24,24,22.5,24,31114
AIC,20210827,12.5,12.6,12.5,12.5,8210
ALV,20210827,2.8,2.8,2.6,2.7,9708
AMP,20210827,14.8,14.8,14.8,14.8,100
AMS,20210827,10.9,10.9,10.5,10.6,43000
ANT,20210827,9,10.8,9,10.8,4400
APF,20210827,49,49.5,49,49.3,1360
ASA,20210827,3.9,3.9,3.7,3.9,12300
ATA,20210827,1.9,2.1,1.9,2.1,892861
ATB,20210827,1.3,1.3,1.2,1.2,172918
ATG,20210827,1.9,1.9,1.8,1.9,725701
AVC,20210827,29.7,29.7,29.7,29.7,300
AVF,20210827,0.7,0.7,0.6,0.7,4984851
B82,20210827,1.1,1.2,1.1,1.2,2870
BBT,20210827,21,23,21,21.3,1700
BCP,20210827,16.4,16.5,16.4,16.5,7800
BDG,20210827,43.5,43.5,43.5,43.5,2000
BDT,20210827,24,24,24,24,500
BHC,20210827,2.2,2.2,2.2,2.2,50
BHP,20210827,6.2,6.9,6.2,6.9,17600
BHT,20210827,15,15.5,15,15.5,24600
BIO,20210827,63.8,68.9,63.8,68.9,30200
BLI,20210827,13.3,13.3,13.3,13.3,100
BLN,20210827,12,12,12,12,300
BLT,20210827,21.1,21.1,21.1,21.1,100
BMJ,20210827,12.9,12.9,12.9,12.9,5
BMN,20210827,8.5,8.5,8.1,8.5,300
BMS,20210827,21.5,22.3,21,22,444309
BMV,20210827,5.4,5.4,5.4,5.4,100
BOT,20210827,51.8,51.8,51.8,51.8,200
BQB,20210827,5.8,5.8,5.8,5.8,200
BRR,20210827,15.4,15.5,15,15,3100
BRS,20210827,25.1,25.1,25.1,25.1,300
BSG,20210827,8.9,8.9,8.5,8.9,700
BSQ,20210827,24.6,24.6,24.4,24.4,1200
BSR,20210827,17.4,17.7,17,17.6,7816506
BT6,20210827,4,4,4,4,33400
BTB,20210827,6.5,6.5,6.5,6.5,1000
BTD,20210827,33.5,33.7,33,33.7,11900
BTN,20210827,3.3,3.3,3.2,3.2,64000
BUD,20210827,15,15,15,15,6200
BVB,20210827,19.1,19.2,18.6,19.1,1806367
BVG,20210827,4.3,4.3,4,4.2,218408
BVL,20210827,23.5,23.5,23.2,23.2,500
BWS,20210827,34,34,34,34,1000
C12,20210827,4.4,4.6,4.3,4.6,2600
C21,20210827,13,13,13,13,21000
C4G,20210827,10.6,11.6,10.3,11.4,4855177
CAD,20210827,1.2,1.2,1.2,1.2,20300
CAT,20210827,21.9,21.9,21.9,21.9,300
CBI,20210827,26.7,27,25.9,26.4,12815
CBS,20210827,11,11,11,11,500
CC1,20210827,18.3,18.3,17.5,18.3,1400
CCM,20210827,40.5,42,40.5,42,1300
CCR,20210827,27.4,27.6,26.6,26.6,13006
CDO,20210827,2.3,2.3,2.1,2.3,227417
CDP,20210827,24.3,27.8,22.8,26.8,249337
CEN,20210827,13,13.1,13,13.1,3800
CFC,20210827,7.1,7.1,7,7,2900
CFM,20210827,8.9,8.9,8.9,8.9,100
CGV,20210827,3.3,3.4,3.2,3.4,11200
CHS,20210827,10.3,10.3,9,9,1000
CI5,20210827,5.3,5.3,5.3,5.3,100
CIP,20210827,5.1,5.3,5.1,5.2,15600
CLG,20210827,1,1.1,0.9,1,140600
CLX,20210827,19.1,19.7,19.1,19.6,109000
CMD,20210827,26.8,28.1,26.8,28.1,300
CMI,20210827,1.5,1.5,1.5,1.5,8300
CMN,20210827,56,56.8,56,56.8,200
CMT,20210827,21.1,21.5,20.5,21.2,13510
CNC,20210827,31,31,30.2,30.2,1200
CNT,20210827,9.1,9.1,8.8,8.8,3800
CPI,20210827,4.2,4.2,4.2,4.2,5200
CQN,20210827,23.9,23.9,23.9,23.9,100
CQT,20210827,7.7,7.7,7.7,7.7,1200
CST,20210827,15.1,15.5,14.8,15.5,263738
CT6,20210827,6.4,6.4,6.4,6.4,100
CTA,20210827,1.2,1.2,1.1,1.2,9700
CTN,20210827,1.4,1.4,1.2,1.2,8416
CTR,20210827,80,81.4,78.6,81,768580
CYC,20210827,3.7,3.7,3.4,3.4,900
DBM,20210827,27,27,27,27,200
DC1,20210827,14,14.5,14,14.5,2000
DCR,20210827,4.2,4.5,4.2,4.5,7906
DCS,20210827,1.6,1.6,1.4,1.5,1436800
DCT,20210827,1.5,1.6,1.5,1.6,96362
DDM,20210827,2.5,2.5,2.5,2.5,300
DDN,20210827,19.2,22.4,19.2,22.4,398386
DDV,20210827,20.5,20.5,17,19.5,4014753
DFF,20210827,27.7,28.1,27.5,28.1,3100
DGT,20210827,24.1,24.1,22.9,23.7,225100
DHB,20210827,5.8,5.8,5.8,5.8,200
DHD,20210827,23.5,26,23.5,25,16210
DIC,20210827,1.6,1.6,1.4,1.5,440547
DID,20210827,7.6,7.7,7.3,7.5,31600
DLR,20210827,11,11,11,11,100
